表名称,字段,字段解释,字段类型,备注,,,,,,,,,,,,,,,,,
TB_Person（个人表）,SalaryMoney,具体期望的薪酬值，根据WantSalary转换过来,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Score,简历评分,int,保存简历基本信息时，默认设置为3,,,,,,,,,,,,,,,,,
TB_Person（个人表）,ScoreEmpNo,简历打分员工,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,ScoreTime,简历打分时间,datetime,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,SelfCommentFlag,自我评价是否完整,bit,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,SelfIntro,自我介绍 ,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,SelfIntroTitle,自我介绍,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Sex,"性别,1男，2女",int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,Speciality,专业ID,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,TrainFlag,培训经历是否完整,bit,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,TrueName,真实姓名,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,UpdateTime,更新时间,datetime,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,UserID,关联的用户ID,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,WantJob,期望职位，多个编码,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,WantJobCat,行业类别，多个编码,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,WantJobFlag,求职意向是否完整,bit,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,WantJobName,求职标题,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,WantJobPlace,想在哪工作，多个，区域编码,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,WantJobPosKey,期望从事工件关键字,varchar,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,WantSalary,期望薪资级别,int,"0不限,1>1000-1500,2>1500-1999,""3"">2000-2999,""4"">3000-4499,""5"">4500-5999,""6"">6000-7999,""7"">8000-9999,""8"">10000-14999,""9"">15000-19999,""10"">20000-29999,""11"">30000-49999,""12"">50000及以上,""13"">面议",,,,,,,,,,,,,,,,,
TB_Person（个人表）,Weight,体重,int,,,,,,,,,,,,,,,,,,
TB_Person（个人表）,tv,暂不清楚,timestamp,暂不清楚,,,,,,,,,,,,,,,,,
TB_Person（个人表）,geo,地理位置,geography,,,,,,,,,,,,,,,,,,
TB_Person_Achivement（个人作品）,AchivementID,作品ID,int,,,,,,,,,,,,,,,,,,
TB_Person_Achivement（个人作品）,UserID,个人ID,int,,,,,,,,,,,,,,,,,,
TB_Person_Achivement（个人作品）,AchivementName,作品名,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_Achivement（个人作品）,AchivementDesc,作品描述,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_Achivement（个人作品）,AchivementPic,作品图片,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_Achivement（个人作品）,AchivementUrl,作品地址,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_Cert（个人证书）,CertID,证书ID,int,,,,,,,,,,,,,,,,,,
TB_Person_Cert（个人证书）,UserID,个人ID,int,,,,,,,,,,,,,,,,,,
TB_Person_Cert（个人证书）,CertName,证书名称,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_Cert（个人证书）,WhichYear,获得年份,int,,,,,,,,,,,,,,,,,,
TB_Person_Cert（个人证书）,Detail,描述,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_Edu（教育经历）,EduID,教育ID,int,,,,,,,,,,,,,,,,,,
TB_Person_Edu（教育经历）,UserID,个人ID,int,,,,,,,,,,,,,,,,,,
TB_Person_Edu（教育经历）,StartTime,开始时间,datetime,,,,,,,,,,,,,,,,,,
TB_Person_Edu（教育经历）,EndTime,结束时间,datetime,,,,,,,,,,,,,,,,,,
TB_Person_Edu（教育经历）,SchoolName,学习名称,nvarchar,,,,,,,,,,,,,,,,,,
TB_Person_Edu（教育经历）,Speciality,专业,nvarchar,,,,,,,,,,,,,,,,,,
