表名称,字段,字段解释,字段类型,备注,,,,,,,,,,,,,,,,,
TB_MC_Channel(消息中心通道-暂未使用),Comment,内容,varchar,,,,,,,,,,,,,,,,,,
TB_MC_Channel(消息中心通道-暂未使用),State,状态,int,"0：未启用
1：启用",,,,,,,,,,,,,,,,,
TB_MC_Files(消息中心通道-附件),Id,,bigint,,,,,,,,,,,,,,,,,,
TB_MC_Files(消息中心通道-附件),Type,,int,1 消息发送批次附件,,,,,,,,,,,,,,,,,
TB_MC_Files(消息中心通道-附件),ObjectId,消息Id,bigint,,,,,,,,,,,,,,,,,,
TB_MC_Files(消息中心通道-附件),FileTitle,文件名,varchar,存原始的文件名字,,,,,,,,,,,,,,,,,
TB_MC_Files(消息中心通道-附件),FileType,文件类型,int,1,,,,,,,,,,,,,,,,,
TB_MC_Files(消息中心通道-附件),FIleUrl,文件地址,varchar,远程文件的访问地址,,,,,,,,,,,,,,,,,
TB_MC_Files(消息中心通道-附件),FIlePath,文件访问地址,varchar,本地路径的地址,,,,,,,,,,,,,,,,,
TB_MC_Files(消息中心通道-附件),CTime,创建时间,datetime,文件上传的时间,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),Id,,bigint,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),MsgTypeKey,消息类型,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),Source,来源,int,"0 外接系统
1 用户直接发送",,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),AppID,授权Id,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),UserID,用户Id,int,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),SenderName,发送者名字,varchar,发送者信息比如邮件的发送者名称和邮件,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),SenderNo,发送者地址,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),TemplateId,模板Id,int,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),TemplateContent,模板内容,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),MsgContent,消息内容,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),TemplateOptions,模板配置,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),SendOptions,发送配置,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),State,状态,int,"0 待发
1 发送中
10 发送结束: 全部成功
11 发送结束: 有失败",,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),MsgCount,消息总数,int,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),SuccessCount,成功数量,int,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),FailCount,失败数量,int,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),CTime,创建时间,datetime,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),STime,发送时间,datetime,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),ETime,结束时间,datetime,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),IsDeleted,是否删除,int,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),Subject,主题,nvarchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendBatch(消息中心发送批次),CancelCount,取消数量,int,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),Id,,bigint,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),BatchId,消息批次,bigint,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),MsgTypeKey,消息通道,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),SenderName,,varchar,发送者信息比如邮件的发送者名称和邮件,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),SenderNo,发送者地址,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),ReceiverName,接收者姓名,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),ReceiverNo,接收者地址,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),TemplateContent,模板内用,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),MsgContent,消息内容,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),TemplateOptions,模板配置,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),SendOptions,发送配置,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),State,状态,int,"0 待发送
1 发送中
2 发送失败，重试中
10 发送结束：所有状态
11 发送结束：全部成功
12 发送结束:  有失败
13 发送结束:  取消",,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),MaxRetry,最大重试,int,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),RetryCount,重试次数,int,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),CTime,创建时间,datetime,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),STime,开始时间,datetime,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),ETime,结束时间,datetime,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),IsDeleted,是否删除,int,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendJob(消息发送任务),Subject,主题,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendLog(发送日志),ID,,bigint,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendLog(发送日志),MsgJobID,对应任务Id,bigint,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendLog(发送日志),LogType,日志类型,int,"0 开始标记日志
1 消息日志
2 错误日志
3 警告日志
9 结束标记日志   ",,,,,,,,,,,,,,,,,
TB_MC_MsgSendLog(发送日志),Content,内容,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgSendLog(发送日志),CTime,创建时间,datetime,,,,,,,,,,,,,,,,,,
TB_MC_MsgTemplate(消息中心模板),Id,,int,,,,,,,,,,,,,,,,,,
TB_MC_MsgTemplate(消息中心模板),Name,模板名,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgTemplate(消息中心模板),Category,类型,int,"1 邮件
2 短信
3 安卓推送
4 IOS推送
5 微信公众号消息",,,,,,,,,,,,,,,,,
TB_MC_MsgTemplate(消息中心模板),Comment,备注,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgTemplate(消息中心模板),Content,内容,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgTemplate(消息中心模板),CTime,创建时间,datetime,,,,,,,,,,,,,,,,,,
TB_MC_MsgTemplate(消息中心模板),UTime,更新时间,datetime,,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),Key,模板Id,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),Name,模板描述,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),Priority,优先级,int,0-4级，低到高，分别对应不同的队列,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),Category,类型,int,"1 验证类
2 重要消息提醒
3 消息提醒
4 营销消息",,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),ChannelKey,通道,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),TemplateID,模板Id,int,,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),TemplateOption,模板配置,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),SendOption,发送配置,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),Comment,备注,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),State,状态,int,"0 未启用
   1 启用",,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),CTime,创建时间,datetime,,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),UTime,修改时间,datetime,,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),Subject,主题,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),SenderName,发送者,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),SenderNo,发送地址,varchar,,,,,,,,,,,,,,,,,,
TB_MC_MsgType(消息类型),RetryCount,重试次数,int,,,,,,,,,,,,,,,,,,
TB_MC_OpsRequest(请求操作-暂未使用),Id,,bigint,,,,,,,,,,,,,,,,,,
TB_MC_OpsRequest(请求操作-暂未使用),RequestType,请求类型,int,"0 取消消息发送批次
1 取消消息发送Job",,,,,,,,,,,,,,,,,
TB_MC_OpsRequest(请求操作-暂未使用),ObjectId,,bigint,,,,,,,,,,,,,,,,,,
TB_MC_OpsRequest(请求操作-暂未使用),CTime,创建时间,datetime,,,,,,,,,,,,,,,,,,
TB_MC_OpsRequest(请求操作-暂未使用),State,状态,int,"0  待处理
1 处理中
10 处理结束：成功
11 处理结束：失败",,,,,,,,,,,,,,,,,
TB_MC_OpsRequest(请求操作-暂未使用),ETime,结束事件,datetime,,,,,,,,,,,,,,,,,,
TB_MC_OpsRequest(请求操作-暂未使用),Comment,备注,varchar,,,,,,,,,,,,,,,,,,
TB_MC_OpsRequest(请求操作-暂未使用),PushKey,用户的UserID,varchar,,,,,,,,,,,,,,,,,,
TB_MC_OpsRequest(请求操作-暂未使用),PushValue,推送Token,varchar,,,,,,,,,,,,,,,,,,
TB_MC_OpsRequest(请求操作-暂未使用),CTime,职位Id,datetime,,,,,,,,,,,,,,,,,,
TB_MC_OpsRequest(请求操作-暂未使用),UTime,修改时间,datetime,,,,,,,,,,,,,,,,,,
TB_MC_OpsRequest(请求操作-暂未使用),PushType,推送类型,varchar,"TpnsPushP(个人)
TpnsPushC(企业)",,,,,,,,,,,,,,,,,
TB_User（用户表）,UserID,用户ID,int,,,,,,,,,,,,,,,,,,
TB_User（用户表）,UserType,用户类别,int,1个人，2企业,,,,,,,,,,,,,,,,,
TB_User（用户表）,UserName,用户账号,nvarchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,Email,电子 邮件,nvarchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,Pass_word,密码,nvarchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,LoginCount,登录次数,int,,,,,,,,,,,,,,,,,,
TB_User（用户表）,Enabled,启用状态 1启用,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,RegTime,注册时间,datetime,,,,,,,,,,,,,,,,,,
TB_User（用户表）,UserPass,用户密码-对称加密,nvarchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,RegIP,注册地IP,varchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,LoginTime,最新登录时间,datetime,,,,,,,,,,,,,,,,,,
TB_User（用户表）,LoginIP,最新登录 IP,varchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,LastLoginTime,上次登录 时间,datetime,,,,,,,,,,,,,,,,,,
TB_User（用户表）,LastLoginIP,上次登录IP,varchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,RegType,注册类别,int,"        /// -1:未知
        /// 0:电脑版普通注册
        /// 1:手机版普通注册
        /// 3:APP注册
        /// 4.百度API
        /// 9.采集
        /// 10.电脑版注册
        /// 11.安卓App注册
        /// 12.iOSApp注册
        /// 13.微信小程序注册
        /// 14.手机网页版注册
             15.电脑版快速注册
             16.H5版快速注册
             17.WX小程序快速注册
        /// 18.安卓App快速注册
        /// 19.iOSApp快速注册",,,,,,,,,,,,,,,,,
TB_User（用户表）,LastRecomm,最后推荐时间,datetime,,,,,,,,,,,,,,,,,,
TB_User（用户表）,LastReadRecomm,上次阅读推荐时间,datetime,,,,,,,,,,,,,,,,,,
TB_User（用户表）,ReadRecommCount,阅读推荐次数,int,,,,,,,,,,,,,,,,,,
TB_User（用户表）,WxOpenId,微信ID (绑定公众号时的OpenID),varchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,JobRecommMail,是否邮件推荐职位,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,PersonRecomm,是否邮件推荐人才,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,InterviewNotifyMail,面试邀请邮件提醒,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,InterviewNotifyWx,面试邀请微信提醒,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,JobApplyNotifyMail,职位申请时邮件提醒,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,JobApplyNotifyWx,职位申请时微信提醒,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,WxEnabled,微信公众号是否绑定 1是 0否,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,QQ_openid,QQ登录时使用,varchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,QQ_access_token,QQ登录时使用,varchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,QQ_token_expire,QQ登录时使用,datetime,,,,,,,,,,,,,,,,,,
TB_User（用户表）,QQ_refresh_token,QQ登录时使用,varchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,QQ_nickname,QQ登录时使用,nvarchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,BindQQ,QQ登录时使用,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,MobilePhone,手机号码,varchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,BindMobile,手机号码是否验证过，目前没有用,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,WxLoginOpenId,使用微信APP登录时的 OpenID,varchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,WxUnionid,腾讯Unionid,varchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,AppInviteNotify,APP-邀请提醒,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,AppJobApplyNotify,APP-职位申请提醒,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,AppPushMsg,APP-消息推送,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,AppVisitMsg,APP-查看简历时提醒,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,AppComJobApplyNotify,企业APP-职位申请提醒,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,AppComPersonInviteReply,企业APP-个人邀请提醒,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,AppComPushMsg,企业APP-消息推送,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,SmsComJobApply,当有人向我申请职位时通知我,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,SmsComInviteReply,当我邀请的人才回复时通知我,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,SmsComPushMsg,短信企业推送通知,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,SmsPerInvite,企业邀请我面试时通知我,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,SmsPerView,企业关注我的简历时通知我,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,SmsPerPushMsg,个人推送通知,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,SmsTodayJobApplyNotify,记录当天向企业发送的求职申请短信条数,int,,,,,,,,,,,,,,,,,,
TB_User（用户表）,BdUid,百度登录，目前不使用,bigint,,,,,,,,,,,,,,,,,,
TB_User（用户表）,BdToken,百度登录，目前不使用,varchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,BdRefreshToken,百度登录，目前不使用,varchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,BdTokenExpireTime,百度登录，目前不使用,datetime,,,,,,,,,,,,,,,,,,
TB_User（用户表）,DeviceToken,百度登录，目前不使用,varchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,CanMobileLogin,能否手机登录 ,bit,,,,,,,,,,,,,,,,,,
TB_User（用户表）,RegSrc,"注册来源，比如网络招聘会,标识用户是用云南招聘网注册过的，还是从瓜伯网注册过来的.为0表示从云南招聘网注册过来的，为1表示从瓜伯网注册过来的",int,,,,,,,,,,,,,,,,,,
TB_User（用户表）,Comment,"备注 
",nvarchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,PwdBak,修改密码加解方式时使用,nvarchar,,,,,,,,,,,,,,,,,,
TB_User（用户表）,geo,地理位置,geography,,,,,,,,,,,,,,,,,,
TB_User_Extra（用户扩展表）,Id,,bigint,,,,,,,,,,,,,,,,,,
TB_User_Extra（用户扩展表）,DataKey,用户扩展数据的Key,varchar,,,,,,,,,,,,,,,,,,
TB_User_Extra（用户扩展表）,UserID,用户ID,int,,,,,,,,,,,,,,,,,,
TB_User_Extra（用户扩展表）,ValString,用户扩展数据的String value,varchar,,,,,,,,,,,,,,,,,,
TB_User_Extra（用户扩展表）,ValInt,用户扩展数据的String int,int,,,,,,,,,,,,,,,,,,
TB_UserLoginLog（用户登录日志表）,LogID,日志ID,int,,,,,,,,,,,,,,,,,,
TB_UserLoginLog（用户登录日志表）,UserID,用户ID,int,,,,,,,,,,,,,,,,,,
TB_UserLoginLog（用户登录日志表）,LoginTime,登录时间,datetime,,,,,,,,,,,,,,,,,,
TB_UserLoginLog（用户登录日志表）,UserAgent,客户端类型,nvarchar,,,,,,,,,,,,,,,,,,
TB_UserLoginLog（用户登录日志表）,IP,登录IP,nvarchar,,,,,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Id,,int,,,,4,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_SN,求职者id,int,,,,4,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Reg_Date,注册时间,datetime,,,,8,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,ModifyTime,修改时间,datetime,,,,8,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Latest_Login,最后登录时间,datetime,,,,8,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Latest_Notice,,datetime,,,,8,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Previous_Login,上次登录时间,datetime,,,,8,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Login_ID,登录账号,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Login_Pwd,密码,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Contact_Mobile,联系电话,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Contact_Email,邮件,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Has_Maillist,是否订阅才经邮箱,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_IsCommend,是否加红,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_CheckFrom,审核站点,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_RegFrom,注册站点,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_LogIP,登录ip,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Score,才币,decimal,,,,9,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Inviter,邀请人,int,,,,4,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Contact_Checked,联系方式是否已审核,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Asslogintime,登录招聘助手时间,datetime,,,,8,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Face,招聘助手头像,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Contact_Date,,datetime,,,,8,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Emailaffirm,,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Repeat,,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Inviter_True,,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Green,,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Querylook,,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_MobileActive,,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Blacklist,,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Isblack,,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,TrueEmail,,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Mobilelogintime,触屏登录时间,datetime,,,,8,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,ErrorEmail,,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Source,端口来源,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Cer_IsState,,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Location_lng,经度,decimal,,,,9,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Location_lat,纬度,decimal,,,,9,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Source1,活动来源,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,LoginSource,活动登录来源,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,PcLastLogintime,Pc最后登录时间,datetime,,,,8,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,AndroidLastLogintime,安卓最后登录时间,datetime,,,,8,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,IosLastLogintime,IOS最后登录时间,datetime,,,,8,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,ManualRefreshTime,,datetime,,,,8,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,CompleteReg,是否完成注册流程,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Name,姓名,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Type,类别,varchar,0：社会人士、1：应届毕业生、2：在校学生,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Contact_Phone,联系电话,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Contact_Homepage,个人主页,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Contact_Address,联系地址,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Contact_Zipcode,邮编,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Contact_QQ,QQ,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Click_Counter,点击量,int,,,,4,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Action,意向,tinyint,"0：暂时不换工作、1：找工作, 随时到岗、2：在职，会考虑好机会",,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_IndustryJob,行业细分,smallint,,,,2,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Hunter,高级人才,tinyint,0：未申请/未通过、1：申请、2：通过,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Sex,性别,tinyint,1：男，2：女,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_birthday,出生日期,datetime,,,,8,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Height,身高,smallint,,,,2,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Marry,婚否,tinyint,0未婚 1已婚 null不知道,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Learn,学历,smallint,,,,2,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_GSchool,毕业学校,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Major,专业,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_English,英语水平,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Hukou_Cn,户籍,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Livin_Cn,居住地,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Hukou,户籍编码,int,,,,4,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Livin,居住地编码,int,,,,4,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Comp_Ability,计算机水平,int,,,,4,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Expr_Years,工作经验,smallint,,,,2,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Pic,简历头像,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Has_Picture,头像状态,tinyint,0：无头像、1：未审核、2：已审核,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_SN,简历序号,int,,,,4,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Certificate,证件类型,smallint,1：身份证、2：护照、3：军人证、4：香港身份证、5：其他,,,2,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Cer_number,身份证,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,ShowJw_Action,是否展示求职意向,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_CreditPoint,诚信度,int,,,,4,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Weibo,微博,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Iswrite,是否是采集的,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_Tag,标签,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_CSID,负责客服Id,int,,,,4,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_LastOpCSID,最后操作客服Id,int,,,,4,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_CSName,客服名称,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_LastOpCSName,最后操作客服名称,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_LastOperCSID,最后审核客服Id,int,,,,4,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Jw_LastOperCSName,最后审核客服名称,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,ShowSocialInResume,是否在简历中显示社交主页,bit,,,,1,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Sign,签名,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_TonwCn,街道名称,varchar,,,,255,,,,,,,,,,,,,,
TB_BC_JwInfo（求职者信息）,Res_Town,街道,int,,,,4,,,,,,,,,,,,,,
TB_BC_Resume（简历信息）,Id,,int,,,,4,,,,,,,,,,,,,,
