table_name,description
TB_ResumeAudit_Score,
TB_ResumeAudit_SendBatch,
TB_ResumeAudit_SendJob,
TB_ResumeAudit_TagGroup,
TB_ResumeAudit_Tags,
TB_Role,
TB_SaleRecord,销售记录
TB_SaleRecord_ComRight,
TB_SearchKeyword,
TB_SellRec,营销过程记录
TB_SendEmail_Temp,
Tb_SendSms_Temp,
TB_ServiceRec,
TB_ShortMsg,
TB_SmsLog,
TB_SmsTidConfig,
TB_SnailBay_Job,
TB_Social_Banner,
TB_Social_Category,
TB_Social_Comment,
TB_Social_Notices,
TB_Social_Post,
TB_Social_Post_Forward,
TB_Social_Post_Likes,
TB_Social_Post_View,
TB_SysConfig,
TB_SYSMsg,
TB_SYSMsgAcLog,
TB_SystemOption,
TB_TianYanChaData,
TB_TrainAdGroup,
TB_TrainAdItem,
TB_User,
TB_User_Extra,
TB_UserLoginLog,
TB_ViewHistory,
TB_VIPJ_AppConfig,
TB_VIPJ_QRCode,
TB_VIPJ_UserJobCollection,
TB_VipSetting,
TB_VipStatics,
TB_VisitComment,
TB_WebsiteMessage,
TB_WeixinNotify,
TB_Ycte_Order,
TB_ZK_Exam,
TB_ZK_Exam_Card,
TB_ZK_Exam_Register,
TB_ZK_Exam_Register_Files,
TB_ZK_Exam_Site,
Tb_Zk_Exam_Subject,
TB_ZK_Site_Register,
ViewCurrentSellRec,
ViewCurrentSellRecCollected,
WXMessage,
下午,
